1.00|Introduction to Computers and Engineering Problem Solving
1.001|Introduction to Computers and Engineering Problem Solving
1.002|Introduction to Computers and Engineering Problem Solving
1.007|EES-Lab: Engineering for Environment and Sustainability
1.011|Project Evaluation
1.013|Senior Civil and Environmental Engineering Design
1.015|Design of Electromechanical Robotic Systems
1.016|Design for Complex Environmental Issues: Building Solutions and Communicating Ideas
1.020|Ecology II: Engineering for Sustainability
1.021|Introduction to Modeling and Simulation
1.036|Structural and Geotechnical Engineering Design
1.040|Project Management
1.041|Transportation Systems Modeling
1.053|Dynamics and Control I
1.055|Steel Bridge Competition
1.056|Building Structural Systems I
1.060|Engineering Mechanics II
1.080|Environmental Chemistry
1.081|Environmental Cancer Risks, Prevention, and Therapy
1.083|Environmental Health Engineering and Biology
1.095|Teaching Practicum in Civil and Environmental Engineering
1.102|Introduction to Civil and Environmental Engineering Design II
1.107|Environmental Chemistry and Biology Laboratory
1.151|Probability and Statistics in Engineering
1.153|Transportation Policy, the Environment, and Livable Communities
1.202|Demand Modeling
1.207|Computer Algorithms in Systems Engineering
1.234|Airline Management
1.251|Comparative Land Use and Transportation Planning
1.253|Transportation Policy, the Environment, and Livable Communities
1.254|Transport Modeling Course
1.255|Transportation MEng Project
1.258|Public Transportation Systems
1.261|Case Studies in Logistics and Supply Chain Management
1.265|Global Supply Chain Management
1.27|Studies in Transportation
1.271|The Theory of Operations Management
1.273|Supply Chain Planning
1.274|Manufacturing System and Supply Chain Design
1.283|Urban and Regional Economics
1.284|Analyzing and Accounting for Regional Economic Change
1.34|Waste Containment and Remediation Technology
1.351|Theoretical Soil Mechanics
1.381|Rock Mechanics
1.39|Independent Study in Geotechnical Engineering
1.401|Project Management
1.472|Innovative Project Delivery in the Public and Private Sectors
1.56|Structural Mechanics in Nuclear Power Technology
1.561|Motion-Based Design
1.562|High-Performance Structures MEng Project
1.570|Micromechanics and Durability of Solids
1.58|Steel Bridge Competition
1.582|Design of Steel Structures
1.589|Studies in Structural Design and Analysis
1.597|Studies in Construction Materials
1.66|Problems in Water Resources and Environmental Engineering
1.685|Nonlinear Dynamics and Waves
1.692|Ocean Wave Interaction with Ships and Offshore Energy Systems
1.699|Projects in Oceanographic Engineering
1.714|Surface Hydrology
1.723|Computational Methods for Flow in Porous Media
1.77|Water Quality Control
1.782|Environmental Engineering MEng Project
1.851|Water and Sanitation Infrastructure in Developing Countries
1.899|Career Reengineering Program and Professional Development Workshops
1.968|Graduate Studies in Civil and Environmental Engineering
1.969|Graduate Studies in Civil and Environmental Engineering
1.982|Research in Civil and Environmental Engineering
1.983|Teaching in Civil and Environmental Engineering
1.984|Teaching Experience in Civil and Environmental Engineering
1.999|Undergraduate Studies in Civil and Environmental Engineering
1.EPE|UPOP Summer Practice Experience
1.EPW|UPOP IAP Workshop
1.S82|Special Problems in Environmental Microbiology and Chemistry
1.S978|Special Graduate Subject in Civil and Environmental Engineering
1.S991|Special Undergraduate Subject in Civil and Environmental Engineering
1.S992|Special Undergraduate Subject in Civil and Environmental Engineering
1.THG|Graduate Thesis
1.THU|Undergraduate Thesis
1.UR|Research in Civil and Environmental Engineering
1.URG|Research in Civil and Environmental Engineering
10.10|Introduction to Chemical Engineering
10.213|Chemical and Biological Engineering Thermodynamics
10.26|Chemical Engineering Projects Laboratory
10.27|Energy Engineering Projects Laboratory
10.29|Biological Engineering Projects Laboratory
10.301|Fluid Mechanics
10.32|Separation Processes
10.333|Introduction to Modeling and Simulation
10.37|Chemical Kinetics and Reactor Design
10.426|Electrochemical Energy Systems
10.43|Introduction to Interfacial Phenomena
10.441|Molecular and Engineering Aspects of Biotechnology
10.450|Process Dynamics, Operations, and Control
10.491|Integrated Chemical Engineering II
10.494|Integrated Chemical Engineering Topics III
10.543|Protein Folding and Human Disease
10.551|Systems Engineering
10.557|Mixed-integer and Nonconvex Optimization
10.569|Synthesis of Polymers
10.571|Atmospheric Physics and Chemistry
10.626|Electrochemical Energy Systems
10.65|Chemical Reactor Engineering
10.652|Kinetics of Chemical Reactions
10.702|Introduction to Experimental Biology and Communication
10.74|Radiative Transfer
10.792|Global Operations Leadership Seminar
10.80|School of Chemical Engineering Practice -- Technical Accomplishment
10.807|Innovation Teams
10.81|School of Chemical Engineering Practice -- Communication Skills and Human Relations
10.82|School of Chemical Engineering Practice -- Technical Accomplishment
10.83|School of Chemical Engineering Practice -- Communication Skills and Human Relations
10.84|School of Chemical Engineering Practice -- Technical Accomplishment
10.85|School of Chemical Engineering Practice -- Communication Skills and Human Relations
10.86|School of Chemical Engineering Practice -- Technical Accomplishment
10.87|School of Chemical Engineering Practice -- Communication Skills and Human Relations
10.90|Independent Research Problem
10.910|Independent Research Problem
10.911|Independent Research Problem
10.953|Seminar in Heterogeneous Catalysis
10.954|Seminar in Applied Optical Spectroscopy
10.960|Student Seminar in Polymer Science and Technology
10.964|Seminar on Transport Theory
10.965|Seminar in Biosystems Engineering
10.966|Seminar in Drug Delivery, Biomaterials, and Tissue Engineering
10.967|Seminar in Protein-Polymer Materials Engineering
10.968|Seminar in Biomolecular Engineering
10.969|Molecular Engineering Seminar
10.970|Seminar in Molecular Computation
10.971|Seminar in Fluid Mechanics and Transport Phenomena
10.972|Biochemical Engineering Research Seminar
10.973|Bioengineering
10.974|Seminar in Chemical Engineering Nanotechnology
10.975|Seminar in Polymer Science and Engineering
10.976|Process Design, Operations, and Control
10.981|Seminar in Colloid and Interface Science
